source,target,genres
Caldo,Ariox,"['indie catala', 'musica catalana']"
Caldo,Massaviu,"['indie catala', 'musica catalana']"
Caldo,Svetlana,[]
Caldo,xicu,"['indie catala', 'musica catalana']"
Caldo,roserona,"['indie catala', 'musica catalana']"
Caldo,Moli,[]
Caldo,Ouineta,[]
Caldo,Ven'nus,"['indie catala', 'musica catalana']"
Caldo,Lluc,['trap catala']
Caldo,FADES,[]
Caldo,kuu,[]
Caldo,La Queency,[]
Caldo,Galgo Lento,['indie catala']
Caldo,Joe Pops,[]
Caldo,Iglú,"['indie catala', 'musica catalana']"
Caldo,Katta Lana,[]
Ven'nus,Iglú,"['indie catala', 'musica catalana']"
Iglú,Massaviu,"['indie catala', 'musica catalana']"
Iglú,xicu,"['indie catala', 'musica catalana']"
Iglú,kuu,[]
Iglú,Lluc,['trap catala']
Iglú,bert bert,[]
Iglú,Ven'nus,"['indie catala', 'musica catalana']"
Iglú,Ariox,"['indie catala', 'musica catalana']"
Iglú,roserona,"['indie catala', 'musica catalana']"
Iglú,Vernat,['indie catala']
Iglú,Uri,['musica catalana']
Iglú,miquel,['indie catala']
Iglú,Reïna,['indie catala']
Iglú,Lal'Ba,['musica catalana']
Iglú,Vienna,"['indie catala', 'musica catalana']"
Iglú,Moli,[]
Iglú,Galgo Lento,['indie catala']
Iglú,Caldo,[]
Iglú,paunezz,['indie catala']
Iglú,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
Iglú,Malson Atmosfèric,"['rap catala', 'trap catala']"
Ven'nus,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
Al·lèrgiques al pol·len,Ven'nus,"['indie catala', 'musica catalana']"
Al·lèrgiques al pol·len,Ariox,"['indie catala', 'musica catalana']"
Al·lèrgiques al pol·len,roserona,"['indie catala', 'musica catalana']"
Al·lèrgiques al pol·len,Iglú,"['indie catala', 'musica catalana']"
Al·lèrgiques al pol·len,xicu,"['indie catala', 'musica catalana']"
Al·lèrgiques al pol·len,Maria Jaume,"['indie catala', 'rock catala']"
Al·lèrgiques al pol·len,Maio,['musica catalana']
Al·lèrgiques al pol·len,MARIA HEIN,['indie catala']
Al·lèrgiques al pol·len,Socunbohemio,['indie catala']
Al·lèrgiques al pol·len,Caldo,[]
Al·lèrgiques al pol·len,Ginestà,"['cantautor catala', 'indie catala', 'musica catalana', 'rock catala']"
Al·lèrgiques al pol·len,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
Al·lèrgiques al pol·len,Vienna,"['indie catala', 'musica catalana']"
Al·lèrgiques al pol·len,Massaviu,"['indie catala', 'musica catalana']"
Al·lèrgiques al pol·len,Reïna,['indie catala']
Al·lèrgiques al pol·len,Moli,[]
